Geneid	HISAT2 on data 299: aligned reads (BAM)
100287102	0
653635	0
102466751	0
100302278	0
645520	0
79501	0
729737	6
102725121	0
102723897	0
102465909	0
729759	0
100132287	0
105378947	0
101928626	0
102465432	0
81399	0
100133331	0
100288069	0
400728	0
79854	0
643837	4
284593	0
100130417	0
148398	0
26155	3
339451	0
84069	0
84808	0
57801	8
9636	2
375790	0
105369174	0
105378948	0
401934	0
54991	0
254099	0
406984	0
406983	0
554210	0
254173	1
8784	0
7293	0
51150	17
126792	0
388581	0
118424	10
6339	0
116983	9
102465434	0
126789	2
54973	5
102465435	0
80772	4
83756	0
1855	0
102466740	0
54587	2
54998	10
81669	8
148413	2
55052	3
441869	0
643965	0
102724312	0
64856	0
219293	0
83858	1
55210	1
339453	0
29101	12
643988	0
142678	6
8510	0
984	12
728661	8
8511	0
728642	6
9906	0
65220	87
2782	51
105378949	0
163688	0
339456	0
85452	0
2563	0
5590	11
100506504	1
199990	0
105378592	0
6497	56
105378594	0
79906	1
100129534	0
11079	9
5192	4
9651	0
55229	0
388585	0
115110	0
8764	1
100996583	0
127281	0
79258	0
100287898	0
140625	0
440556	0
63976	0
100422968	0
27237	0
1953	14
693135	0
127262	7
49856	4
7161	0
57212	2
148870	0
388588	0
57470	2
9731	0
1677	0
339448	5
100133612	0
728716	0
284661	0
55966	0
100616489	0
100616421	0
261734	0
8514	28
26038	0
6146	6
102724450	0
388591	0
23463	2
148645	0
390992	0
387509	2
11332	0
54626	0
83715	0
100422975	0
8718	3
57449	0
79707	0
80835	0
3104	5
9903	13
148479	0
90326	0
55735	2
100505887	0
23261	0
9341	0
8863	0
10911	0
3604	0
11315	6
54206	0
102724539	0
50651	0
473	18
102724552	0
2023	24
102465436	0
100505975	0
765	0
155184	0
6518	5
80045	0
407040	0
9563	14
80176	0
100506022	0
84275	0
199953	0
5293	72
644997	0
101929074	0
22883	11
56998	0
84328	0
64802	0
100847055	0
105376719	0
116362	0
10277	6
23095	10
100422970	0
5226	88
100526739	0
378708	0
1325	0
1676	2
5195	1
54897	2
148345	0
23435	4
10747	0
6723	1
5394	0
2475	2
100873935	0
10218	0
29914	0
57540	0
101929181	0
26232	0
93611	2
26270	0
10459	2
374946	0
57085	8
284498	1
102724659	0
4524	4
1185	0
100379251	0
4878	0
4879	0
26829	0
90231	7
5351	2
9927	11
60672	4
102466982	0
943	0
102465836	0
7133	78
100616438	0
55187	13
677885	0
9249	0
102466722	0
343066	0
126767	0
93190	0
390999	0
65121	0
440560	0
343069	1
65122	0
400735	0
343071	0
441871	0
440561	0
653606	0
102724742	0
101929983	0
649330	0
441873	0
649324	0
440563	0
645354	0
645359	0
101060301	0
343070	0
400736	0
391003	0
343068	0
391002	0
645382	0
653619	0
729528	0
645414	0
391004	0
645425	0
126755	0
10630	0
7799	23
23254	1
200197	0
55092	0
727684	0
114827	0
101927417	0
79180	78
11330	0
63036	0
51032	0
842	0
23341	0
79814	0
84301	0
6248	0
23207	24
284723	0
388595	0
54751	0
440567	1
729614	4
23013	30
7709	0
101928566	0
149563	0
27129	0
1187	0
1188	0
348487	0
1969	0
128272	0
101927546	1
79363	0
54455	4
26099	11
374955	0
55707	7
114819	0
26871	0
100126512	0
100126517	0
102724970	0
100133301	0
7195	0
55672	1
84809	1
11209	0
26869	0
729574	0
100126533	0
284729	0
100189045	0
102723383	0
6060	0
11223	0
100500876	0
100189298	0
7193	0
791226	0
9696	8
26870	0
4237	2
23400	4
6390	6
11240	8
29943	0
51702	0
100616188	0
23569	22
353238	0
55920	23
55160	0
81569	0
101927876	0
84966	0
127707	0
5081	0
80834	0
8659	0
100616120	0
100302276	0
126917	14
23352	17
23065	6
51154	0
246181	0
22977	0
100506730	0
8574	2
54896	0
832	37
100532736	0
440574	1
644068	0
4681	0
3362	0
255104	0
54546	0
23252	0
30814	0
5320	0
5322	0
26279	0
64600	0
391013	0
127733	0
101928017	0
127731	0
339505	0
55450	0
79594	0
163933	0
978	16
65018	6
102464833	0
100861548	0
1650	8
57576	0
400745	0
50809	25
8672	4
100302155	0
1889	17
100506801	0
84224	0
249	28
5909	0
84196	22
401944	0
3339	0
23436	0
10136	0
101928043	0
29092	0
998	41
54361	0
100616433	0
9923	6
2046	0
102466615	0
712	0
714	0
713	0
2048	0
100616391	0
100422914	0
646262	0
729059	0
23028	0
100422866	0
100616177	0
7798	5
3352	0
100996511	0
10236	11
80818	2
148898	0
6920	0
55616	0
1870	0
101928163	0
3399	2
259283	0
6135	13
6924	2
100506963	0
57095	2
11313	2
2582	2
